Wavelength(nm)	T%
1100		0.006905979
1099.5		0.006659218
1099		0.005855013
1098.5		0.006273352
1098		0.005800531
1097.5		0.006015431
1097		0.006219798
1096.5		0.005906681
1096		0.006148808
1095.5		0.005952994
1095		0.005874186
1094.5		0.005876948
1094		0.006109117
1093.5		0.005493846
1093		0.005220216
1092.5		0.006026984
1092		0.006219102
1091.5		0.005513927
1091		0.004700384
1090.5		0.005235807
1090		0.00538851
1089.5		0.005508914
1089		0.005154411
1088.5		0.004887445
1088		0.00474826
1087.5		0.004787357
1087		0.005001974
1086.5		0.005409194
1086		0.004920711
1085.5		0.004926019
1085		0.004425787
1084.5		0.004684243
1084		0.004984396
1083.5		0.004641701
1083		0.004997199
1082.5		0.004735057
1082		0.00453206
1081.5		0.003950133
1081		0.004296588
1080.5		0.004352992
1080		0.004618315
1079.5		0.004264289
1079		0.004834883
1078.5		0.004437801
1078		0.004486722
1077.5		0.004413854
1077		0.004759555
1076.5		0.00429194
1076		0.003859787
1075.5		0.00387941
1075		0.004563718
1074.5		0.004004834
1074		0.003870636
1073.5		0.003875604
1073		0.003686235
1072.5		0.004441764
1072		0.003814392
1071.5		0.004204381
1071		0.003943295
1070.5		0.004000289
1070		0.004194899
1069.5		0.004111794
1069		0.003531915
1068.5		0.003582111
1068		0.00394268
1067.5		0.003828407
1067		0.003663717
1066.5		0.0040476
1066		0.003616442
1065.5		0.004110579
1065		0.003792409
1064.5		0.003360892
1064		0.00330636
1063.5		0.003829978
1063		0.004308942
1062.5		0.003360721
1062		0.003671321
1061.5		0.003506069
1061		0.003806876
1060.5		0.003909564
1060		0.003338531
1059.5		0.003484287
1059		0.003690388
1058.5		0.003824439
1058		0.003529503
1057.5		0.003463476
1057		0.003882852
1056.5		0.004020074
1056		0.003531697
1055.5		0.003436816
1055		0.003787835
1054.5		0.003217824
1054		0.003460381
1053.5		0.003633486
1053		0.003596498
1052.5		0.003103412
1052		0.004300995
1051.5		0.003850491
1051		0.003497126
1050.5		0.003863375
1050		0.003664823
1049.5		0.003529131
1049		0.0034895
1048.5		0.00396904
1048		0.003368344
1047.5		0.003042777
1047		0.003434438
1046.5		0.003471399
1046		0.003442873
1045.5		0.003472226
1045		0.003198217
1044.5		0.002927894
1044		0.003259704
1043.5		0.003356509
1043		0.003507733
1042.5		0.003506694
1042		0.003312438
1041.5		0.003556343
1041		0.003258634
1040.5		0.003584047
1040		0.003252953
1039.5		0.003142125
1039		0.003094875
1038.5		0.003441242
1038		0.003887496
1037.5		0.003408815
1037		0.003344069
1036.5		0.003939577
1036		0.003612607
1035.5		0.003260953
1035		0.003039239
1034.5		0.003406288
1034		0.004117437
1033.5		0.003813843
1033		0.003599758
1032.5		0.003382873
1032		0.003247781
1031.5		0.00348178
1031		0.003658172
1030.5		0.003875791
1030		0.004572625
1029.5		0.003287563
1029		0.002984239
1028.5		0.003874369
1028		0.003620472
1027.5		0.003196285
1027		0.003255134
1026.5		0.003873157
1026		0.003694054
1025.5		0.003862766
1025		0.003493967
1024.5		0.003459734
1024		0.002997051
1023.5		0.003625305
1023		0.002710071
1022.5		0.003012493
1022		0.003515906
1021.5		0.002771655
1021		0.003454818
1020.5		0.003748199
1020		0.003585659
1019.5		0.002797915
1019		0.003165104
1018.5		0.003266101
1018		0.004178042
1017.5		0.002809007
1017		0.003469222
1016.5		0.003420658
1016		0.00319751
1015.5		0.003207695
1015		0.003578542
1014.5		0.003114467
1014		0.003300175
1013.5		0.003442819
1013		0.003516076
1012.5		0.002625007
1012		0.002973689
1011.5		0.003138382
1011		0.003509894
1010.5		0.003157881
1010		0.003269413
1009.5		0.00330893
1009		0.003106374
1008.5		0.00306908
1008		0.003317303
1007.5		0.003459119
1007		0.00348196
1006.5		0.003442583
1006		0.002995629
1005.5		0.004201673
1005		0.003455588
1004.5		0.003600348
1004		0.003458945
1003.5		0.003244782
1003		0.003708882
1002.5		0.003442419
1002		0.003238033
1001.5		0.00289198
1001		0.002640645
1000.5		0.003116049
1000		0.003589067
999.5		0.003063944
999		0.002827228
998.5		0.003262494
998		0.003019135
997.5		0.003356411
997		0.003277405
996.5		0.003484767
996		0.003350841
995.5		0.003618217
995		0.003222459
994.5		0.003125408
994		0.003142421
993.5		0.003303013
993		0.003491702
992.5		0.00407579
992		0.003709568
991.5		0.003064449
991		0.002955649
990.5		0.003157069
990		0.003809755
989.5		0.00308857
989		0.003497374
988.5		0.00342201
988		0.002877445
987.5		0.003520371
987		0.003534905
986.5		0.003534413
986		0.003306475
985.5		0.003137572
985		0.002828007
984.5		0.003425794
984		0.002754644
983.5		0.003657698
983		0.003171673
982.5		0.003275965
982		0.003674263
981.5		0.003213419
981		0.00367876
980.5		0.002997144
980		0.003589051
979.5		0.003139777
979		0.003238115
978.5		0.003270142
978		0.003367332
977.5		0.003140481
977		0.003388817
976.5		0.003150503
976		0.003349927
975.5		0.002945261
975		0.003526217
974.5		0.003381512
974		0.003468322
973.5		0.002706033
973		0.00357858
972.5		0.003482154
972		0.003284842
971.5		0.003225455
971		0.00275003
970.5		0.003512885
970		0.003221482
969.5		0.003381232
969		0.003748107
968.5		0.002940541
968		0.002950069
967.5		0.002482339
967		0.00299684
966.5		0.003062914
966		0.003160622
965.5		0.002882564
965		0.002940328
964.5		0.002988305
964		0.003781803
963.5		0.003261931
963		0.003627162
962.5		0.003270373
962		0.003198345
961.5		0.004160163
961		0.003503179
960.5		0.003131947
960		0.003629157
959.5		0.003415573
959		0.003199489
958.5		0.003698122
958		0.003089336
957.5		0.003797893
957		0.003344529
956.5		0.003291031
956		0.003203579
955.5		0.003538753
955		0.002994616
954.5		0.003075345
954		0.00318139
953.5		0.003345676
953		0.003332931
952.5		0.00322544
952		0.003144302
951.5		0.003325463
951		0.003012086
950.5		0.003273759
950		0.003445336
949.5		0.002723668
949		0.003134693
948.5		0.003116032
948		0.00355193
947.5		0.003224063
947		0.004075061
946.5		0.003132068
946		0.003276912
945.5		0.00336865
945		0.003275308
944.5		0.003554542
944		0.003659831
943.5		0.003881875
943		0.003234347
942.5		0.003921018
942		0.002879686
941.5		0.003929303
941		0.003371384
940.5		0.003418404
940		0.003464618
939.5		0.003301952
939		0.003365217
938.5		0.003571659
938		0.003104705
937.5		0.002932142
937		0.003604799
936.5		0.003878657
936		0.003214342
935.5		0.003479188
935		0.00305409
934.5		0.003365974
934		0.003514529
933.5		0.00296134
933		0.003531116
932.5		0.002654816
932		0.003269453
931.5		0.003339004
931		0.003869669
930.5		0.003787391
930		0.003232085
929.5		0.003137183
929		0.003369088
928.5		0.003370699
928		0.002525588
927.5		0.003250449
927		0.003504318
926.5		0.003309903
926		0.003472959
925.5		0.003641313
925		0.00360803
924.5		0.003154987
