Wavelength(nm)	T%
1100		0.003046157
1099.5		0.003385771
1099		0.003734571
1098.5		0.004092054
1098		0.003334902
1097.5		0.003093855
1097		0.003594718
1096.5		0.003718709
1096		0.003157526
1095.5		0.003492277
1095		0.003708489
1094.5		0.003461348
1094		0.003010319
1093.5		0.004202035
1093		0.003337458
1092.5		0.003663775
1092		0.003986533
1091.5		0.003660005
1091		0.003697939
1090.5		0.003410515
1090		0.003855788
1089.5		0.003442204
1089		0.003614452
1088.5		0.003145048
1088		0.003439036
1087.5		0.003563085
1087		0.003439938
1086.5		0.003167154
1086		0.003109679
1085.5		0.003688367
1085		0.003737924
1084.5		0.003465953
1084		0.003360952
1083.5		0.003487
1083		0.003594228
1082.5		0.0037482
1082		0.003908178
1081.5		0.003638086
1081		0.003473449
1080.5		0.003462805
1080		0.003887554
1079.5		0.003217178
1079		0.00381775
1078.5		0.004040981
1078		0.003551677
1077.5		0.002757262
1077		0.003441717
1076.5		0.003984371
1076		0.003070521
1075.5		0.003250998
1075		0.003437968
1074.5		0.003681163
1074		0.003635601
1073.5		0.004012601
1073		0.003440911
1072.5		0.00355167
1072		0.004129027
1071.5		0.003618063
1071		0.003348152
1070.5		0.003669277
1070		0.003457975
1069.5		0.003472717
1069		0.004059821
1068.5		0.003965566
1068		0.003843227
1067.5		0.003468218
1067		0.003913087
1066.5		0.003746379
1066		0.002790975
1065.5		0.003606428
1065		0.00387045
1064.5		0.00309613
1064		0.00367617
1063.5		0.003583148
1063		0.00360305
1062.5		0.003753362
1062		0.00344263
1061.5		0.00320824
1061		0.003563172
1060.5		0.003816213
1060		0.003817119
1059.5		0.003236863
1059		0.003934782
1058.5		0.003785503
1058		0.003447583
1057.5		0.003677341
1057		0.003512052
1056.5		0.004046547
1056		0.003673511
1055.5		0.003237429
1055		0.003347746
1054.5		0.003036218
1054		0.003893058
1053.5		0.003751541
1053		0.003469401
1052.5		0.002945397
1052		0.003353605
1051.5		0.003936106
1051		0.003696637
1050.5		0.003274302
1050		0.003205301
1049.5		0.003225559
1049		0.003486253
1048.5		0.003326514
1048		0.003363667
1047.5		0.003468441
1047		0.00360781
1046.5		0.003844479
1046		0.003247817
1045.5		0.003501426
1045		0.00339638
1044.5		0.003507372
1044		0.00317865
1043.5		0.003899065
1043		0.003406703
1042.5		0.003510008
1042		0.003484191
1041.5		0.003468351
1041		0.003763559
1040.5		0.00331236
1040		0.003467583
1039.5		0.003143896
1039		0.003742401
1038.5		0.003901564
1038		0.003469488
1037.5		0.002847341
1037		0.003578492
1036.5		0.003936827
1036		0.004107743
1035.5		0.003338247
1035		0.003563809
1034.5		0.00354736
1034		0.003251617
1033.5		0.003996694
1033		0.003779646
1032.5		0.003359344
1032		0.00377999
1031.5		0.003277212
1031		0.003864818
1030.5		0.003606267
1030		0.003120159
1029.5		0.004055654
1029		0.003465034
1028.5		0.00358739
1028		0.003704872
1027.5		0.003623568
1027		0.003717137
1026.5		0.003152565
1026		0.004016403
1025.5		0.003609254
1025		0.003282823
1024.5		0.003187473
1024		0.003457455
1023.5		0.003496748
1023		0.004125353
1022.5		0.003267031
1022		0.003696531
1021.5		0.003893299
1021		0.003269861
1020.5		0.002867851
1020		0.003354076
1019.5		0.003911123
1019		0.003336109
1018.5		0.003551665
1018		0.003722069
1017.5		0.003127913
1017		0.003322689
1016.5		0.003699041
1016		0.003474246
1015.5		0.003893807
1015		0.003916224
1014.5		0.004120303
1014		0.003809323
1013.5		0.003617825
1013		0.003452208
1012.5		0.003285678
1012		0.003467417
1011.5		0.00385787
1011		0.003000091
1010.5		0.003351645
1010		0.00355937
1009.5		0.003614799
1009		0.003198165
1008.5		0.004105945
1008		0.003123803
1007.5		0.003253247
1007		0.003283902
1006.5		0.003106432
1006		0.003776672
1005.5		0.003336552
1005		0.002829596
1004.5		0.003702117
1004		0.003446723
1003.5		0.003340965
1003		0.003591201
1002.5		0.003630223
1002		0.003883625
1001.5		0.003478514
1001		0.003986082
1000.5		0.003447719
1000		0.003895347
999.5		0.003223067
999		0.003637033
998.5		0.003480034
998		0.003797327
997.5		0.003221392
997		0.003834776
996.5		0.00399135
996		0.003631596
995.5		0.003604833
995		0.00358438
994.5		0.003232572
994		0.003904288
993.5		0.003399988
993		0.003428026
992.5		0.003241223
992		0.003643176
