Wavelength(nm)	T%
1100		0.003612239
1099.5		0.003794188
1099		0.003755293
1098.5		0.003687849
1098		0.003873178
1097.5		0.003638265
1097		0.003868256
1096.5		0.003822028
1096		0.003671567
1095.5		0.003553325
1095		0.004079317
1094.5		0.003571131
1094		0.003621423
1093.5		0.003895453
1093		0.003656136
1092.5		0.003169612
1092		0.004012902
1091.5		0.003623679
1091		0.004508237
1090.5		0.003752143
1090		0.004445637
1089.5		0.004141382
1089		0.004088467
1088.5		0.004029796
1088		0.003643906
1087.5		0.003808043
1087		0.003418582
1086.5		0.004564147
1086		0.004290614
1085.5		0.004117709
1085		0.004600767
1084.5		0.00418601
1084		0.004622216
1083.5		0.005362612
1083		0.004919254
1082.5		0.004848971
1082		0.005179222
1081.5		0.005430929
1081		0.004802251
1080.5		0.004768048
1080		0.004969453
1079.5		0.005135456
1079		0.004996412
1078.5		0.004309555
1078		0.003989507
1077.5		0.004600375
1077		0.003956454
1076.5		0.004059794
1076		0.004159383
1075.5		0.00411085
1075		0.004349955
1074.5		0.003834158
1074		0.00344882
1073.5		0.003442831
1073		0.003813794
1072.5		0.003953726
1072		0.003379977
1071.5		0.003530273
1071		0.003756138
1070.5		0.003430692
1070		0.003749351
1069.5		0.003635597
1069		0.003544313
1068.5		0.003519082
1068		0.003300746
1067.5		0.003502246
1067		0.00373657
1066.5		0.003315097
1066		0.003943843
1065.5		0.003583052
1065		0.003574121
1064.5		0.003057576
1064		0.003451065
1063.5		0.003986615
1063		0.00316808
1062.5		0.003463665
1062		0.003084397
1061.5		0.003857597
1061		0.003865162
1060.5		0.00311455
1060		0.00362403
1059.5		0.003717252
1059		0.002850934
1058.5		0.004076857
1058		0.003723415
1057.5		0.003888254
1057		0.003655212
1056.5		0.003785286
1056		0.003019153
1055.5		0.003253701
1055		0.003650476
1054.5		0.003138855
1054		0.003169382
1053.5		0.003553319
1053		0.003601315
1052.5		0.003709948
1052		0.003839533
1051.5		0.003636403
1051		0.003680973
1050.5		0.003368418
1050		0.004139225
1049.5		0.003477769
1049		0.003274628
1048.5		0.003374558
1048		0.003881868
1047.5		0.0031205
1047		0.003526899
1046.5		0.003277464
1046		0.003357885
1045.5		0.003842544
1045		0.003522811
1044.5		0.003125742
1044		0.004342323
1043.5		0.003933573
1043		0.003786103
1042.5		0.003859631
1042		0.003557018
1041.5		0.004020439
1041		0.003965078
1040.5		0.003859564
1040		0.004289511
1039.5		0.004217979
1039		0.004224686
1038.5		0.003908013
1038		0.004637268
1037.5		0.004716149
1037		0.005140069
1036.5		0.005335205
1036		0.004781377
1035.5		0.004803564
1035		0.004545643
1034.5		0.004447889
1034		0.004824589
1033.5		0.004526041
1033		0.004208136
1032.5		0.00426387
1032		0.003390666
1031.5		0.004300978
1031		0.004038577
1030.5		0.003840683
1030		0.00390477
1029.5		0.003611166
1029		0.00376376
1028.5		0.003613583
1028		0.003530075
1027.5		0.003037538
1027		0.004065362
1026.5		0.003424809
1026		0.003723231
1025.5		0.003312625
1025		0.003295836
1024.5		0.003360302
1024		0.003629191
1023.5		0.003542835
1023		0.003063004
1022.5		0.003491909
1022		0.003436249
1021.5		0.003392833
1021		0.003641434
1020.5		0.003703153
1020		0.003474649
1019.5		0.002932897
1019		0.003717966
1018.5		0.003762505
1018		0.004057897
1017.5		0.003496368
1017		0.003324705
1016.5		0.00374028
1016		0.003251762
1015.5		0.003021572
1015		0.003101648
1014.5		0.003351771
1014		0.003061919
