Wavelength(nm)	T%
1100		0.189057753
1099.5		0.200562269
1099		0.211758837
1098.5		0.22361365
1098		0.236227825
1097.5		0.249872237
1097		0.264482051
1096.5		0.280871391
1096		0.297525078
1095.5		0.315187722
1095		0.334217161
1094.5		0.354719073
1094		0.376533389
1093.5		0.400023758
1093		0.424833328
1092.5		0.452128977
1092		0.480718404
1091.5		0.511518419
1091		0.54449296
1090.5		0.58029902
1090		0.619227886
1089.5		0.661462843
1089		0.706090987
1088.5		0.753967702
1088		0.804945111
1087.5		0.860643685
1087		0.921382666
1086.5		0.987916887
1086		1.059272051
1085.5		1.136765957
1085		1.215490222
1084.5		1.305584073
1084		1.403184772
1083.5		1.512412786
1083		1.628570795
1082.5		1.749988675
1082		1.88698566
1081.5		2.032811165
1081		2.191695929
1080.5		2.372009754
1080		2.566710949
1079.5		2.77444315
1079		3.001339674
1078.5		3.248435974
1078		3.514365196
1077.5		3.811690331
1077		4.14646101
1076.5		4.503291607
1076		4.892482281
1075.5		5.315331459
1075		5.779536247
1074.5		6.28601408
1074		6.869140148
1073.5		7.494387627
1073		8.165665627
1072.5		8.921187401
1072		9.721710205
1071.5		10.61138916
1071		11.60373402
1070.5		12.70431137
1070		13.89093876
1069.5		15.16182899
1069		16.5596447
1068.5		18.08527565
1068		19.73453522
1067.5		21.59721375
1067		23.58496666
1066.5		25.68617249
1066		27.93640137
1065.5		30.34723473
1065		32.88318253
1064.5		35.67232895
1064		38.64196396
1063.5		41.63500214
1063		44.71733093
1062.5		47.93092728
1062		51.20990372
1061.5		54.5494194
1061		58.07629776
1060.5		61.40754318
1060		64.63633728
1059.5		67.89697266
1059		70.93566132
1058.5		73.84538269
1058		76.70811462
1057.5		79.38143921
1057		81.72161102
1056.5		83.89401245
1056		85.87230682
1055.5		87.58618164
1055		89.13469696
1054.5		90.59571838
1054		91.72628784
1053.5		92.66812897
1053		93.56768036
1052.5		94.23921204
1052		94.75550842
1051.5		95.28637695
1051		95.68204498
1050.5		95.90407562
1050		96.15792847
1049.5		96.34736633
1049		96.42462921
1048.5		96.50341034
1048		96.6241684
1047.5		96.62316132
1047		96.59679413
1046.5		96.64008331
1046		96.63824463
1045.5		96.57687378
1045		96.58727264
1044.5		96.60999298
1044		96.53978729
1043.5		96.52610779
1043		96.54969025
1042.5		96.5217514
1042		96.48716736
1041.5		96.5198288
1041		96.53885651
1040.5		96.48760223
1040		96.51493073
1039.5		96.54730225
1039		96.53966522
1038.5		96.54235077
1038		96.60385132
1037.5		96.61858368
1037		96.61756134
1036.5		96.646698
1036		96.69411469
1035.5		96.68962097
1035		96.69766235
1034.5		96.7434082
1034		96.75276184
1033.5		96.74185181
1033		96.76364136
1032.5		96.78942871
1032		96.76621246
1031.5		96.75026703
1031		96.77272797
1030.5		96.76610565
1030		96.72808838
1029.5		96.71643829
1029		96.70649719
1028.5		96.67948151
1028		96.65013123
1027.5		96.6266861
1027		96.62024689
1026.5		96.57619476
1026		96.54248047
1025.5		96.52198792
1025		96.49609375
1024.5		96.4490509
1024		96.41719818
1023.5		96.39143372
1023		96.34815216
1022.5		96.2999649
1022		96.2653656
1021.5		96.23934937
1021		96.18310547
1020.5		96.14416504
1020		96.09477234
1019.5		96.06163025
1019		96.01424408
1018.5		95.96635437
1018		95.92139435
1017.5		95.87996674
1017		95.85248566
1016.5		95.81209564
1016		95.76403046
1015.5		95.73683929
1015		95.70835114
1014.5		95.69244385
1014		95.65328217
1013.5		95.63597107
1013		95.63711548
1012.5		95.61724854
1012		95.61166382
1011.5		95.59766388
1011		95.619133
1010.5		95.61197662
1010		95.60559082
1009.5		95.62417603
1009		95.63780975
1008.5		95.66256714
1008		95.66934967
1007.5		95.70322418
1007		95.74880981
1006.5		95.76690674
1006		95.82338715
1005.5		95.84723663
1005		95.90677643
1004.5		95.98586273
1004		96.0009613
1003.5		96.08637238
1003		96.14109039
1002.5		96.21430206
1002		96.25272369
1001.5		96.33437347
1001		96.3825531
1000.5		96.45280457
1000		96.50328064
999.5		96.55635071
999		96.59353638
998.5		96.63267517
998		96.66896057
997.5		96.68361664
997		96.71305084
996.5		96.72147369
996		96.71214294
995.5		96.70173645
995		96.67049408
994.5		96.6541214
994		96.61087799
993.5		96.5676651
993		96.49079132
992.5		96.43447876
992		96.3500061
991.5		96.27133942
991		96.16923523
990.5		96.07504272
990		95.94259644
989.5		95.83978271
989		95.69855499
988.5		95.57833099
988		95.43742371
987.5		95.30795288
987		95.15585327
986.5		95.01869202
986		94.87333679
985.5		94.74783325
985		94.62091064
984.5		94.50416565
984		94.38561249
983.5		94.27896881
983		94.1890564
982.5		94.12042999
982		94.05406189
981.5		94.01988983
981		93.96854401
980.5		93.95848846
980		93.94076538
979.5		93.95503235
979		93.98802185
978.5		94.02752686
978		94.07624817
977.5		94.13750458
977		94.21518707
976.5		94.31602478
976		94.40300751
975.5		94.50827026
975		94.60649109
974.5		94.72892761
974		94.85977173
973.5		94.99478149
973		95.10796356
972.5		95.21959686
972		95.33919525
971.5		95.46682739
971		95.59472656
970.5		95.67913818
970		95.7690506
969.5		95.83191681
969		95.91919708
968.5		95.99583435
968		96.05489349
967.5		96.0638504
967		96.07830048
966.5		96.09899139
966		96.12746429
965.5		96.13822937
965		96.11911774
964.5		96.09278107
964		96.07371521
963.5		96.07082367
963		96.08364105
962.5		96.08919525
962		96.06575012
961.5		96.05220032
961		96.05307007
960.5		96.08515167
960		96.12194061
959.5		96.14926147
959		96.15472412
958.5		96.17431641
958		96.20902252
957.5		96.25431061
957		96.32912445
956.5		96.35400391
956		96.37362671
955.5		96.38741302
955		96.38685608
954.5		96.43219757
954		96.46502686
953.5		96.49729156
953		96.51847076
952.5		96.53804016
952		96.56843567
951.5		96.58310699
951		96.61243439
950.5		96.63153076
950		96.57386017
949.5		96.45420837
949		96.22994995
948.5		95.82221222
948		95.20644379
947.5		94.27857208
947		92.8651123
946.5		90.92421722
946		88.26180267
945.5		84.64978027
945		80.20166016
944.5		74.95466614
944		68.97489929
943.5		62.36437988
943		55.54862595
942.5		48.49452209
942		41.67146301
941.5		35.3800354
941		29.73722839
940.5		24.88439178
940		20.63248825
939.5		17.03034401
939		13.94750023
938.5		11.45263195
938		9.432883263
937.5		7.737634182
937		6.405012131
936.5		5.286938667
936		4.37032032
935.5		3.616756678
935		3.011877298
934.5		2.523237705
934		2.114899397
933.5		1.785684586
933		1.504756808
932.5		1.26530385
932		1.073461652
931.5		0.912627757
931		0.783116162
930.5		0.669072032
930		0.577466488
929.5		0.494871527
929		0.426863402
928.5		0.370738715
928		0.320735306
927.5		0.281316847
927		0.245469093
926.5		0.214356273
926		0.188207686
925.5		0.165083677
925		0.146062598
924.5		0.129171327
924		0.114719138
923.5		0.101977713
923		0.091324784
922.5		0.081125885
922		0.073562793
921.5		0.065012127
921		0.05864824
920.5		0.053240422
920		0.04812517
919.5		0.04323557
919		0.039262891
918.5		0.036095008
918		0.03304711
917.5		0.029952059
917		0.028108081
916.5		0.025775474
916		0.02369605
915.5		0.021718513
915		0.02013254
914.5		0.018710136
914		0.017113002
913.5		0.016343899
913		0.015077461
912.5		0.014191462
912		0.013744713
911.5		0.012894023
911		0.011700242
910.5		0.011117746
910		0.009908685
909.5		0.010005962
909		0.009298019
908.5		0.008906481
908		0.00852466
907.5		0.008131871
907		0.008010413
906.5		0.007454922
906		0.007067263
905.5		0.007180267
905		0.0064808
904.5		0.006545695
904		0.005640243
903.5		0.005995516
903		0.005582839
902.5		0.005446969
902		0.005791098
901.5		0.005088536
901		0.005448141
900.5		0.005196523
900		0.005319777
899.5		0.004848601
899		0.004309135
898.5		0.004511698
898		0.0045618
897.5		0.004292139
897		0.004500102
896.5		0.003710553
896		0.003462909
895.5		0.00352795
895		0.004053257
894.5		0.003701228
894		0.004356003
893.5		0.003721657
893		0.003525355
892.5		0.00403673
892		0.003709733
891.5		0.00355894
891		0.003627714
890.5		0.003863128
890		0.003506124
889.5		0.003371371
889		0.003684746
888.5		0.003965973
888		0.003711846
887.5		0.003393097
887		0.00353003
886.5		0.003838682
886		0.003774911
885.5		0.003545963
885		0.003813343
884.5		0.003340974
884		0.003363977
883.5		0.00339179
883		0.003320008
882.5		0.003700623
882		0.003158215
881.5		0.003373157
881		0.003454138
880.5		0.004123951
880		0.003557581
