Wavelength(nm)	T%
1100		0.003284959
1099.5		0.003032773
1099		0.00376815
1098.5		0.003733902
1098		0.003444154
1097.5		0.003318053
1097		0.00387524
1096.5		0.0035972
1096		0.003247854
1095.5		0.003181231
1095		0.003770245
1094.5		0.003068937
1094		0.003590124
1093.5		0.003535712
1093		0.003795682
1092.5		0.003308741
1092		0.003398789
1091.5		0.003625646
1091		0.002983955
1090.5		0.003441901
1090		0.003772252
1089.5		0.00326061
1089		0.003428277
1088.5		0.003572568
1088		0.003419781
1087.5		0.00340576
1087		0.003268372
1086.5		0.003469432
1086		0.003374605
1085.5		0.003475717
1085		0.003347632
1084.5		0.003722196
1084		0.003768531
1083.5		0.00340473
1083		0.003516058
1082.5		0.003660878
1082		0.003795333
1081.5		0.003097648
1081		0.003327987
1080.5		0.002955778
1080		0.003586948
1079.5		0.003649155
1079		0.003931185
1078.5		0.0038717
1078		0.003683121
1077.5		0.003454576
1077		0.00346087
1076.5		0.003439585
1076		0.002930018
1075.5		0.003626805
1075		0.003486094
1074.5		0.003494712
1074		0.003051087
1073.5		0.003373228
1073		0.003567011
1072.5		0.00349803
1072		0.003459806
1071.5		0.003721745
1071		0.003469507
1070.5		0.003313727
1070		0.003416951
1069.5		0.003097823
1069		0.003279822
1068.5		0.003179811
1068		0.003635474
1067.5		0.003817472
1067		0.00370217
1066.5		0.003128893
1066		0.003701756
1065.5		0.003680333
1065		0.003859676
1064.5		0.002899535
1064		0.00301378
1063.5		0.003827965
1063		0.003494524
1062.5		0.003296542
1062		0.003584489
1061.5		0.003804332
1061		0.003929069
1060.5		0.003411193
1060		0.003272529
1059.5		0.003720452
1059		0.002992947
1058.5		0.003350799
1058		0.003571793
1057.5		0.003718838
1057		0.00347932
1056.5		0.00317865
1056		0.00324689
1055.5		0.003114637
1055		0.002957097
1054.5		0.003271495
1054		0.003465645
1053.5		0.002898341
1053		0.003212061
1052.5		0.003216978
1052		0.004035758
1051.5		0.003472032
1051		0.003358645
1050.5		0.003764729
1050		0.003564958
1049.5		0.003667934
1049		0.003484581
1048.5		0.003321374
1048		0.003601886
1047.5		0.003328416
1047		0.003401063
1046.5		0.003629199
1046		0.003335677
1045.5		0.003184882
1045		0.00319431
1044.5		0.003784067
1044		0.003850072
1043.5		0.003732925
1043		0.003694595
1042.5		0.003718035
1042		0.003490526
1041.5		0.003465814
1041		0.00420536
1040.5		0.003889178
1040		0.003957792
1039.5		0.004089039
1039		0.003610942
1038.5		0.003204857
1038		0.003414672
1037.5		0.004161948
1037		0.003458711
1036.5		0.003720167
1036		0.003330543
1035.5		0.004348186
1035		0.003920129
1034.5		0.003837958
1034		0.003648677
1033.5		0.004243756
1033		0.003979326
1032.5		0.004150565
1032		0.004539801
1031.5		0.004231123
1031		0.004078149
1030.5		0.004155441
1030		0.004783944
1029.5		0.004518321
1029		0.004954642
1028.5		0.0051112
1028		0.005249517
1027.5		0.005237748
1027		0.006085835
1026.5		0.006279867
1026		0.006617167
1025.5		0.006766052
1025		0.007257232
1024.5		0.00781038
1024		0.008459013
